Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 22,20262201,Jordan Dawson,2da872,Adelaide,Adel,images/afl_logos/Adel-40.png,1.9,4.5,-1.4,-1.2,3.9,14.12,0.3,1.4,5.7,-4.2,108,128,85,24,11,35,57.1,596,384,4,10,2,8,4,5,2,3,1,16,6,6,1,1,79,2,2,0,0,0,2,1,1,9,-2,2,6,2
2026,Round 22,20262201,Jayden Short,2da7b1,Richmond,Rich,images/afl_logos/Rich-40.png,2.4,0,3.3,-2,3.8,7.25,-0.5,5.4,6.8,0,75,65,81,12,4,16,75,445,131,1,8,4,12,0,9,6,7,5,4,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
2026,Round 22,20262201,Sam Grlj,140fe23,Richmond,Rich,images/afl_logos/Rich-40.png,-0.9,0.8,1.6,2.1,3.6,4.98,0.9,2.7,2.5,0.1,51,41,67,8,3,11,54.5,215,127,2,2,2,11,0,3,3,2,2,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
2026,Round 22,20262201,Tyler Sonsie,140b21a,Richmond,Rich,images/afl_logos/Rich-40.png,0.2,0.4,0,2.4,3,7.13,0,1.9,1.8,0.1,27,24,71,4,2,6,50,75,43,2,1,2,13,0,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2026,Round 22,20262201,Hugo Hall-Kahan,140ca29,Adelaide,Adel,images/afl_logos/Adel-40.png,0.1,2.3,-1.6,2,2.9,6.93,0,2.1,2.1,0,66,59,84,14,3,17,82.4,353,165,4,4,1,6,3,3,2,3,2,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 22,20262201,Rory Laird,22fde6,Adelaide,Adel,images/afl_logos/Adel-40.png,-0.3,3,0.8,-0.8,2.7,8.09,0,3.5,4,-1.2,74,82,84,8,10,18,77.8,165,228,2,2,5,8,0,5,5,4,4,7,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Round 22,20262201,Sam Banks,140a2cd,Richmond,Rich,images/afl_logos/Rich-40.png,1.1,1.4,-0.5,0.6,2.7,7.31,0,1.3,0,1.7,42,36,76,9,3,12,91.7,276,167,1,2,0,12,4,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,Round 22,20262201,Samson Ryan,1409fa2,Richmond,Rich,images/afl_logos/Rich-40.png,-0.8,-0.9,2.6,0.8,1.7,4.88,2.4,-0.1,4.4,-2.4,34,33,41,4,3,7,71.4,23,92,1,1,1,2,0,5,1,2,1,2,1,2,1,1,26,2,3,22,7,2,0,0,0,0,0,0,0,0
2026,Round 22,20262201,Max Michalanney,140ab4a,Adelaide,Adel,images/afl_logos/Adel-40.png,0.1,0.3,0.3,0.5,1.2,5.24,0,-0.7,0.5,-0.9,51,57,94,9,3,12,58.3,341,80,2,5,3,9,0,1,1,1,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026,Round 22,20262201,Tom Lynch,230035,Richmond,Rich,images/afl_logos/Rich-40.png,0.8,0,0.5,-0.3,0.9,7.03,0,-1.2,5.7,-5.7,43,36,90,5,3,8,37.5,151,85,1,2,2,7,0,5,3,5,3,1,1,2,1,0,0,0,0,2,0,0,4,0,3,14,-11,0,5,0
2026,Round 22,20262201,Archie Ludowyke,140f05d,Adelaide,Adel,images/afl_logos/Adel-40.png,-1.3,-1,0.9,1.7,0.3,5.46,0,-0.4,2.9,-2.3,23,17,51,2,2,4,50,61,0,0,1,2,7,0,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4.4,-3.4,0,3,0
2026,Round 22,20262201,Sam Lalor,140de8b,Richmond,Rich,images/afl_logos/Rich-40.png,0.7,-0.8,0.7,-1.6,-0.9,9.6,0.9,-2,3.6,-3.5,26,17,77,1,2,3,66.7,-1,19,0,1,3,12,0,2,1,1,0,1,0,1,1,0,58,0,1,0,0,0,1,0,1,4.8,-3.8,0,2,0
2026,Round 22,20262201,James Peatling,14086bd,Adelaide,Adel,images/afl_logos/Adel-40.png,1.5,-2,-2.3,0.9,-1.9,9.78,0.2,-3.3,4.6,-7.2,44,65,74,11,9,20,45,162,159,0,3,2,9,0,6,5,4,4,7,1,2,0,0,21,3,2,0,0,0,1,0,1,4.9,-3.9,0,2,0
2026,Round 22,20262202,Kai Lohmann,140a60a,Brisbane,Bris,images/afl_logos/Bris-40.png,0.3,7.2,8.8,8.4,24.6,9.63,1.8,20.4,8.9,14.6,129,117,83,16,8,24,66.7,450,166,4,2,3,18,0,8,7,6,5,9,1,5,1,0,0,2,1,0,0,0,7,5,2,19.2,12.8,1,9,0
2026,Round 22,20262202,Lachie Neale,22ff1f,Brisbane,Bris,images/afl_logos/Bris-40.png,4.8,2.3,6.3,8.3,21.7,13.11,3.7,11.3,11.4,4.1,155,147,78,17,18,35,71.4,529,492,8,2,9,21,0,17,12,7,6,8,6,7,0,1,83,6,7,0,0,0,0,0,0,0,0,3,10,2
2026,Round 22,20262202,Will Ashcroft,140cb1d,Brisbane,Bris,images/afl_logos/Bris-40.png,2.9,7.3,3.9,5.8,19.9,12.37,7.4,8.2,9,6.8,132,122,83,19,20,39,79.5,486,387,4,3,2,14,0,15,13,6,6,15,6,6,0,0,77,7,8,0,0,0,1,0,1,3.1,-2.1,1,13,4
2026,Round 22,20262202,Logan Morris,140dcb3,Brisbane,Bris,images/afl_logos/Bris-40.png,8.7,11.9,0.9,-1.8,19.7,8.27,0.6,19,8.4,10.9,128,101,77,12,3,15,60,344,118,2,2,4,7,0,9,5,8,5,1,2,5,2,0,0,1,1,0,0,0,6,4,1,18.3,6.7,0,9,2
2026,Round 22,20262202,Jai Newcombe,140c0df,Hawthorn,Haw,images/afl_logos/Haw-40.png,3.4,6.8,4.5,3.2,17.9,14.61,9.4,2.2,6,6.5,83,88,76,9,16,25,68,420,365,2,5,4,30,0,14,10,2,2,5,2,5,0,1,73,11,11,1,0,0,1,0,1,1.6,-0.6,0,3,0
2026,Round 22,20262202,Josh Ward,140b216,Hawthorn,Haw,images/afl_logos/Haw-40.png,5.1,7.5,2.7,1.7,16.9,11.38,8.3,5.3,8.1,7.6,114,95,77,12,16,28,82.1,261,371,2,6,2,27,0,13,7,4,3,9,2,7,1,0,53,8,7,0,0,0,0,0,0,0,0,0,6,2
2026,Round 22,20262202,Josh Dunkley,2daeaa,Brisbane,Bris,images/afl_logos/Bris-40.png,0.8,5.4,4,6.5,16.8,10.96,2,10.7,7.8,5.4,86,86,77,12,12,24,70.8,336,311,4,6,3,21,0,9,7,4,3,7,4,5,0,1,73,2,4,1,0,0,0,0,0,0,0,0,7,4
2026,Round 22,20262202,Cam Mackenzie,140cafa,Hawthorn,Haw,images/afl_logos/Haw-40.png,6.4,4.1,2.5,2.5,15.5,9.84,7,4.8,2.5,9.9,87,81,72,13,7,20,80,437,310,6,2,6,18,0,5,3,0,0,11,1,1,0,0,67,5,6,0,0,0,1,0,1,1.8,-0.8,1,5,1
